DEBUG [org.bungeni.translators.translator.OAInputStepsResolver] executing input step = appendBungeniNS, odt2metalex/common/add_bungeni_ns.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: FRBRWork , metalex2akn/minixslt/debaterecord/frbrwork.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: FRBRExpression , metalex2akn/minixslt/debaterecord/frbrexpression.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: FRBRManifestation , metalex2akn/minixslt/debaterecord/frbrmanifestation.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: this , metalex2akn/minixslt/debaterecord/this.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: uri , metalex2akn/minixslt/debaterecord/uri.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: date , metalex2akn/minixslt/debaterecord/date.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: author , metalex2akn/minixslt/debaterecord/frbrauthor.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: publication_mcontainer , metalex2akn/minixslt/debaterecord/publication_mcontainer.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: publication , metalex2akn/minixslt/debaterecord/publication.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: references , metalex2akn/minixslt/debaterecord/references.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: TLCOrganization , metalex2akn/minixslt/debaterecord/tlcorganization.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: TLCPerson , metalex2akn/minixslt/debaterecord/tlcperson.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: TLCEvent , metalex2akn/minixslt/debaterecord/tlcevent.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: TLCRole , metalex2akn/minixslt/debaterecord/tlcrole.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: TLCReference , metalex2akn/minixslt/debaterecord/tlcreference.xsl
FATAL [org.bungeni.translators.translator.OATranslator] [Ljava.lang.StackTraceElement;@6482d603
